"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"01.10.2020","3.843,25","3.827,00","3.858,50","3.797,32","0,47%"
"30.09.2020","3.825,25","3.886,95","3.907,00","3.826,81","-1,54%"
"29.09.2020","3.885,20","3.873,00","3.896,85","3.859,17","0,36%"
"28.09.2020","3.871,25","3.887,00","3.887,47","3.830,20","-0,35%"
"25.09.2020","3.885,00","3.827,00","3.893,85","3.824,43","1,57%"
"24.09.2020","3.825,00","3.862,18","3.908,32","3.826,38","-0,75%"
"23.09.2020","3.853,75","3.827,65","3.875,10","3.823,91","0,90%"
"22.09.2020","3.819,34","3.789,50","3.841,65","3.777,77","1,03%"
"21.09.2020","3.780,23","3.730,00","3.802,48","3.728,10","1,38%"
"18.09.2020","3.728,88","3.715,11","3.739,00","3.710,59","0,41%"
"17.09.2020","3.713,80","3.687,50","3.729,00","3.686,00","0,75%"
"16.09.2020","3.686,00","3.700,10","3.720,00","3.680,16","-0,08%"
"15.09.2020","3.689,00","3.691,91","3.704,26","3.668,11","-0,00%"
"14.09.2020","3.689,13","3.705,50","3.723,50","3.667,00","-0,40%"
"11.09.2020","3.703,88","3.710,10","3.726,10","3.688,00","-0,12%"
"10.09.2020","3.708,48","3.713,91","3.716,66","3.675,00","0,08%"
"09.09.2020","3.705,34","3.739,00","3.739,38","3.708,52","-0,85%"
"08.09.2020","3.737,00","3.715,00","3.773,36","3.713,31","0,73%"
"07.09.2020","3.710,00","3.715,00","3.717,06","3.712,94","-0,09%"
"04.09.2020","3.713,38","3.691,10","3.723,00","3.671,60","0,67%"
"03.09.2020","3.688,53","3.658,00","3.696,96","3.620,71","0,89%"
"02.09.2020","3.656,00","3.679,00","3.691,77","3.641,75","-0,37%"
"01.09.2020","3.669,69","3.740,45","3.741,76","3.662,50","-1,87%"
"31.08.2020","3.739,71","3.745,50","3.767,20","3.728,57","-0,11%"
"28.08.2020","3.744,00","3.816,43","3.837,24","3.739,40","-1,85%"
"27.08.2020","3.814,46","3.839,10","3.850,00","3.805,19","-0,39%"
"26.08.2020","3.829,41","3.867,90","3.881,20","3.826,25","-0,87%"
"25.08.2020","3.863,08","3.856,50","3.888,00","3.834,57","0,25%"
"24.08.2020","3.853,44","3.836,00","3.859,00","3.808,50","0,53%"
"21.08.2020","3.833,25","3.804,00","3.848,17","3.790,77","0,80%"
"20.08.2020","3.802,66","3.757,25","3.805,21","3.757,25","1,26%"
"19.08.2020","3.755,33","3.784,75","3.795,27","3.754,80","-0,76%"
"18.08.2020","3.783,91","3.793,00","3.799,06","3.771,51","0,10%"
"17.08.2020","3.780,25","3.793,00","3.803,82","3.773,57","-0,26%"
"14.08.2020","3.790,25","3.772,00","3.796,51","3.764,35","0,75%"
"13.08.2020","3.762,03","3.758,30","3.777,00","3.745,13","0,19%"
"12.08.2020","3.755,00","3.742,99","3.763,57","3.735,36","0,62%"
"11.08.2020","3.731,83","3.777,65","3.778,79","3.735,34","-0,90%"
"10.08.2020","3.765,54","3.743,00","3.782,90","3.738,70","0,60%"
"07.08.2020","3.743,00","3.743,00","3.767,44","3.741,22","0,00%"
"06.08.2020","3.743,00","3.775,50","3.788,00","3.737,00","-0,87%"
"05.08.2020","3.776,00","3.782,00","3.786,59","3.758,90","-0,13%"
"04.08.2020","3.781,00","3.770,10","3.803,50","3.766,33","0,40%"
"03.08.2020","3.765,83","3.733,33","3.773,70","3.728,78","0,87%"
"31.07.2020","3.733,33","3.722,10","3.739,10","3.717,66","0,29%"
"30.07.2020","3.722,50","3.705,90","3.752,40","3.701,35","0,45%"
"29.07.2020","3.706,00","3.724,90","3.731,95","3.696,85","-0,48%"
"28.07.2020","3.724,00","3.675,50","3.739,65","3.672,16","1,36%"
"27.07.2020","3.674,17","3.694,00","3.694,15","3.669,30","-0,54%"
"24.07.2020","3.694,00","3.668,70","3.703,47","3.662,67","0,77%"
"23.07.2020","3.665,70","3.637,00","3.669,46","3.632,90","0,79%"
"22.07.2020","3.637,00","3.623,25","3.640,34","3.618,27","0,39%"
"21.07.2020","3.623,00","3.653,10","3.653,47","3.614,00","-0,74%"
"20.07.2020","3.650,07","3.653,10","3.658,35","3.643,54","-0,08%"
"17.07.2020","3.653,10","3.644,50","3.666,00","3.635,08","0,34%"
"16.07.2020","3.640,72","3.623,80","3.644,71","3.618,88","0,55%"
"15.07.2020","3.620,80","3.624,00","3.624,42","3.599,61","-0,09%"
